top_kb_index;second_kb_index;emoji;name;link;next_kb;description
9;6;:mobile_phone:;Мобильное презентационное оборудование;https://old.mipt.ru/it/services/prezentatsionnoe_oborudovanie_/mobilnoe_prezentatsionnoe_oborudovanie;False;None
9;7;:video_camera:;Система видеоконференций в аудитории 310УЛК2;https://old.mipt.ru/it/services/prezentatsionnoe_oborudovanie_/sistema_videokonferentsiy_v_auditorii_310ulk2;False;None
9;8;:studio_microphone:;ТП аудиторий с проекционным и звуковым оборудованием;https://old.mipt.ru/it/support/tekhpodderzhka-auditoriy-s-proektsionnym-i-zvukovym-oborudovaniem;False;None
9;-1;:SOS_button:;Другой вопрос;None;False;None
10;1;:key:;Пропуск для обучающихся и штатных сотрудников;https://old.mipt.ru/it/services/skud/poluchenie_elektronnogo_propuska_obuchayushchimisya_i_shtatnymi_sotrudnikami_mfti5430;False;None
10;2;:old_key:;Временный пропуск;https://old.mipt.ru/it/services/skud/poluchenie_vremennogo_elektronnogo_propuska7892;False;None
10;3;:notebook:;Правила прохода в корпуса и общежития ;https://old.mipt.ru/it/services/skud/pravila_prokhoda_v_uchebnye_i_administrativnye_korpusa_i_obshchezhitiya_mfti_po_deystvuyushchim_elek187;False;None
10;4;:ticket:;Пропуск для выпускников;https://old.mipt.ru/it/services/skud/poluchenie_elektronnogo_propuska_vypusknikami_mfti7045;False;None
10;5;:hammer_and_wrench:;Выдача дубликата пропуска;https://old.mipt.ru/it/services/skud/vydacha_dublikata_elektronnogo_propuska;False;None
10;-1;:SOS_button:;Другой вопрос;None;False;None
